,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,web-scraper-order,web-scraper-start-url,img,title,date,location,created_in,year,id,hm,entropy,month_parsed,year_parsed,parsed_date,avg_brightness,time_js
11,11,11,11,11,1591721298-8582,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/The_Langlois_Bridge_at_Arles_-_My_Dream.jpg/1024px-The_Langlois_Bridge_at_Arles_-_My_Dream.jpg,Langlois Bridge at Arles,May 1888,"Wallraf–Richartz Museum, Cologne",Arles,[1888],1591721298-8582,8.456282786765469,20.803334916970886,['May'],[1888],"[datetime.datetime(1888, 5, 1, 0, 0)]",175.11705920161035,[-2577225600000.0]
12,12,12,12,12,1591721298-8758,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg/1024px-Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg,Tree Trunks with Ivy,July 1889,"Van Gogh Museum, Amsterdam",Saint-Rémy,[1889],1591721298-8758,6.119025377353728,20.870569814155747,['July'],[1889],"[datetime.datetime(1889, 7, 1, 0, 0)]",98.1119121239144,[-2540419200000.0]
13,13,13,13,13,1591721298-8768,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,Self-Portrait,September 1889,"Musée d'Orsay, Paris",Saint-Rémy,[1889],1591721298-8768,2.7995593306963777,20.858531930756435,['September'],[1889],"[datetime.datetime(1889, 9, 1, 0, 0)]",160.91843859814256,[-2535062400000.0]
14,14,14,14,14,1591721298-8264,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg/1024px-Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg,Peasant Woman Sitting on a Chair,July 1885,"Art Gallery of Ontario, Toronto",Nuenen,[1885],1591721298-8264,3.8160743050824704,20.73356580583679,['July'],[1885],"[datetime.datetime(1885, 7, 1, 0, 0)]",136.4559311007861,[-2666649600000.0]
15,15,15,15,15,1591721298-8221,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg/1024px-Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg,Peasant Woman Darning Stockings,March 1885,Private collection,Nuenen,[1885],1591721298-8221,1.5513240080846618,19.029106133062253,['March'],[1885],"[datetime.datetime(1885, 3, 1, 0, 0)]",43.783646735030175,[-2677190400000.0]
16,16,16,16,16,1591721298-9150,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Snowy_Yard_jh_342.jpg/1024px-Snowy_Yard_jh_342.jpg,Snowy Yard,21-28 March 1883,"Van Gogh Museum, Amsterdam",The Hague,[1883],1591721298-9150,10.945965257315974,20.76637695801561,['March'],[1883],"[datetime.datetime(1883, 3, 1, 0, 0)]",211.6010077880094,[-2740348800000.0]
17,17,17,17,17,1591721298-8834,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg/1024px-Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg,Landscape with Olive Tree and Mountains in the Background,December 1889,Private collection,Saint-Rémy,[1889],1591721298-8834,20.27756415138017,20.85658169806841,['December'],[1889],"[datetime.datetime(1889, 12, 1, 0, 0)]",145.9571750312868,[-2527200000000.0]
18,18,18,18,18,1591721298-8370,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Van_Gogh_-_Vase_mit_Gladiolen_und_Flieder.jpeg/1024px-Van_Gogh_-_Vase_mit_Gladiolen_und_Flieder.jpeg,Vase with Gladioli and Lilac,1886,Private collection,Paris,[1886],1591721298-8370,6.6113947869648575,20.85203636737548,[],[1886],"[datetime.datetime(1886, 1, 1, 0, 0)]",115.53879263026933,[-2650752000000.0]
19,19,19,19,19,1591721298-9159,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cemetery_jh_396.jpg/1024px-Cemetery_jh_396.jpg,Cemetery,17 September 1883,"Van Gogh Museum, Amsterdam",Drenthe,[1883],1591721298-9159,18.77515551856966,20.409744855808803,['September'],[1883],"[datetime.datetime(1883, 9, 1, 0, 0)]",180.00954037408758,[-2724451200000.0]
20,20,20,20,20,1591721298-8892,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Vincent_van_Gogh_-_Houses_at_Auvers_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Houses_at_Auvers_-_Google_Art_Project.jpg,Houses at Auvers,June 1890,Toledo Museum of Art,Auvers-sur-Oise,[1890],1591721298-8892,7.956180006182411,20.868328704808494,['June'],[1890],"[datetime.datetime(1890, 6, 1, 0, 0)]",142.71494306144066,[-2511475200000.0]
