,web-scraper-order,web-scraper-start-url,img,title,date,location,created_in,year
25,1591721298-8421,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Portret_van_Agostina_Segatori_-_s0093V1962_-_Van_Gogh_Museum.jpg/1024px-Portret_van_Agostina_Segatori_-_s0093V1962_-_Van_Gogh_Museum.jpg,"Portrait of a Woman, Facing Right",1887,"Van Gogh Museum, Amsterdam",Paris,[1887]
26,1591721298-8624,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Van_Gogh_-_Disteln1.jpeg/1024px-Van_Gogh_-_Disteln1.jpeg,Two Thistles,August 1888,Private collection,Arles,[1888]
27,1591721298-8812,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Hospital_in_Saint-Remy.jpg/1024px-Hospital_in_Saint-Remy.jpg,Pine Trees with Figure in the Garden of Saint-Paul Hospital,November 1889,"Musée d'Orsay, Paris",Saint-Rémy,[1889]
28,1591721298-8459,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Zelfportret_-_s0065V1962_-_Van_Gogh_Museum.jpg/1024px-Zelfportret_-_s0065V1962_-_Van_Gogh_Museum.jpg,Self-Portrait,1887,"Van Gogh Museum, Amsterdam",Paris,[1887]
29,1591721298-8387,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Van_Gogh_-_Vase_mit_roten_Gladiolen.jpeg/1024px-Van_Gogh_-_Vase_mit_roten_Gladiolen.jpeg,Vase with Red Gladioli,1886,Private collection,Paris,[1886]
30,1591721298-9109,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Woman_near_a_Window_%28twice%29%2C_Man_with_Winnow%2C_Sower%2C_and_Woman_with_Broom_jh28.jpg/1024px-Woman_near_a_Window_%28twice%29%2C_Man_with_Winnow%2C_Sower%2C_and_Woman_with_Broom_jh28.jpg,"Woman near a Window (twice), Man with Winnow, Sower, and Woman with Broom",September 1881,"Van Gogh Museum, Amsterdam",Etten,[1881]
31,1591721298-9070,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Ramparts_of_Paris_f_1402jh1280.jpg/1024px-Ramparts_of_Paris_f_1402jh1280.jpg,The Ramparts of Paris,1887,Private collection,Paris,[1887]
32,1591721298-8933,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Les_vaches_Van_Gogh.jpg/1024px-Les_vaches_Van_Gogh.jpg,"The Cows, after Jordaens",July 1890,Palais des Beaux-Arts de Lille,Auvers-sur-Oise,[1890]
33,1591721298-9066,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Sunday_in_Eindhoven_f1348_jh958.jpg/1024px-Sunday_in_Eindhoven_f1348_jh958.jpg,A Sunday in Eindhoven,September 1885,"Van Gogh Museum, Amsterdam",Nuenen,[1885]
34,1591721298-8559,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Van_Gogh_-Die_Br%C3%BCcke_von_Langlois_in_Arles_mit_W%C3%A4scherinnen.jpeg/1024px-Van_Gogh_-Die_Br%C3%BCcke_von_Langlois_in_Arles_mit_W%C3%A4scherinnen.jpeg,The Langlois Bridge at Arles with Women Washing,March 1888,"Kröller-Müller Museum, Otterlo",Arles,[1888]
